,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
147,Waipawa,100,NZ,1578469492,72,-39.94,176.59,55.99,1.99
148,Marfino,90,RU,1578469493,93,56.07,37.56,35.01,13.42
149,Svetlogorsk,40,RU,1578469493,85,53.14,59.15,21.2,11.18
150,Buchanan,20,LR,1578469493,94,5.88,-10.05,71.6,5.82
151,Lisala,28,CD,1578469494,25,2.15,21.52,95.86,2.19
152,Zhetysay,5,KZ,1578469494,54,40.73,68.3,42.78,3.87
153,Djougou,0,BJ,1578469494,26,9.71,1.67,71.6,8.05
154,Ostrovnoy,100,RU,1578469494,87,68.05,39.51,33.85,26.62
155,Malabo,87,CD,1578469495,53,1.56,30.43,81.48,5.77
156,Xinyang,100,CN,1578469495,87,32.13,114.07,35.82,8.84
157,Rock Springs,1,US,1578469495,58,41.59,-109.2,24.8,5.82
158,Lompoc,90,US,1578469495,93,34.64,-120.46,53.01,18.88
159,Chanthaburi,20,TH,1578469496,70,12.61,102.11,91.99,9.17
160,Ribeira Grande,75,PT,1578469496,93,38.52,-28.7,64.4,16.11
161,Ranong,75,TH,1578469496,59,9.96,98.62,89.6,9.17
162,Orodara,0,BF,1578469496,45,10.98,-4.92,64.4,2.24
163,Mariental,75,BR,1578469496,100,-25.72,-49.65,69.01,4.7
164,Namibe,84,AO,1578469497,78,-15.19,12.15,74.53,3.13
165,Nagato,75,JP,1578469497,62,34.35,131.14,53.6,19.46
166,Sabha,0,LY,1578469497,44,27.03,14.43,49.68,6.44
167,Bodmin,75,GB,1578469497,100,50.47,-4.72,50.0,9.17
168,Nishihara,20,JP,1578469498,93,35.74,139.53,48.99,1.12
169,Sulangan,98,PH,1578469498,72,11.14,123.72,81.52,7.05
170,Semey,31,KZ,1578469498,84,50.41,80.25,-0.4,4.47
171,Kimbe,100,PG,1578469498,92,-5.56,150.15,77.52,2.28
172,Arraial do Cabo,100,BR,1578469499,89,-22.97,-42.02,78.03,6.82
173,Richards Bay,0,ZA,1578469499,73,-28.77,32.06,80.29,22.26
174,Souillac,100,FR,1578469499,100,45.6,-0.6,50.0,5.82
175,Poum,20,MK,1578469499,6,41.28,20.71,37.4,4.7
176,Klyuchi,99,RU,1578469499,86,52.25,79.17,12.61,3.4
177,Berlevag,90,NO,1578469500,78,70.86,29.09,33.8,28.86
178,Lyantonde,100,UG,1578469500,81,-0.41,31.15,71.44,5.06
179,Dwarka,90,IN,1578469500,93,28.58,77.04,64.99,4.7
180,Hamina,90,FI,1578469500,93,60.57,27.2,39.2,19.46
181,Bolekhiv,0,UA,1578469500,92,49.07,23.86,32.0,5.3
182,Kibondo,100,TZ,1578469501,97,-3.59,30.72,64.92,4.05
183,Illapel,0,CL,1578469501,82,-31.63,-71.17,47.73,2.26
184,Nouadhibou,86,MR,1578469501,35,20.93,-17.03,57.2,20.8
185,Udayagiri,20,IN,1578469502,51,12.32,76.68,82.4,3.36
186,Haines Junction,100,CA,1578469502,98,60.75,-137.51,-14.3,4.85
187,Khatanga,99,RU,1578469502,95,71.98,102.47,2.26,9.64
188,Alofi,21,NU,1578469423,83,-19.06,-169.92,77.0,16.11
189,Polunochnoye,99,RU,1578469503,85,60.87,60.43,17.26,6.6
190,Salcininkai,90,LT,1578469503,92,54.3,25.38,30.99,17.22
191,Khandbari,100,NP,1578469503,77,27.38,87.21,41.27,2.44
192,Sal Rei,75,CV,1578469504,60,16.18,-22.92,68.0,11.41
193,Hastings,100,NZ,1578469388,64,-39.64,176.84,58.53,5.32
194,Chuy,0,UY,1578469504,77,-33.69,-53.46,64.33,8.88
195,Pevek,0,RU,1578469504,88,69.7,170.27,-14.98,12.86
196,Blackwater,55,GB,1578469505,87,51.33,-0.78,54.0,10.29
197,Ust-Ordynskiy,100,RU,1578469505,92,52.8,104.75,8.6,8.95
198,Mahebourg,40,MU,1578469505,79,-20.41,57.7,84.99,9.17
199,Japura,100,ID,1578469505,89,-0.42,102.29,80.83,3.44
200,Kununurra,75,AU,1578469506,50,-15.77,128.74,95.0,8.05
201,Aykhal,75,RU,1578469506,84,65.95,111.51,-0.4,4.47
202,Tabriz,90,IR,1578469506,74,38.08,46.29,30.2,6.93
203,Znamenskoye,78,RU,1578469506,94,57.13,73.82,5.4,2.35
204,Puerto Madryn,100,AR,1578469410,38,-42.77,-65.04,60.49,6.11
205,Enshi,100,CN,1578469507,97,30.29,109.48,35.29,4.12
206,Axim,31,GH,1578469507,54,4.87,-2.24,84.81,4.72
207,Tezu,85,IN,1578469508,50,27.93,96.16,66.34,2.13
208,Samarai,100,PG,1578469508,85,-10.62,150.67,79.72,4.61
209,Cayambe,75,EC,1578469508,87,0.04,-78.14,55.4,2.24
210,Urla,75,TR,1578469508,64,38.32,26.77,44.6,26.4
